UNIVERSIDAD,CENTRO,TÍTULO,"TIPO DE UNIV/ CENTRO","OFERTA DE PLAZAS 2019/2020","NOTA DE CORTE 2019/2020","NOTA MEDIA DE ADMISIÓN 2019/2020","RENDIM. MEDIO 2018/2019","CRÉDITOS NECESAR.","PRECIO DEL CRÉDITO 2019/2020" 
"Universidad Miguel Hernández de Elche","Facultad de Ciencias Sociales y Jurídicas","Grado en Relaciones Laborales y Recursos Humanos",Pública / Propio,75,"5,22","7,23",67 %,240,"13,86 €" 
"Universidad Rey Juan Carlos","Escuela Universitaria de Turismo ESERP",Grado en Derecho,Pública / Adscrito,130,"5,217","6,77",74 %,240, 
"Universidad Rey Juan Carlos","Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles","Grado en Ingeniería de Materiales",Pública / Propio,40,"5,214","7,25",47 %,240,"24,55 €" 
"Universidad de Extremadura","Facultad de Filosofía y Letras","Grado en Historia del Arte y Patrimonio Histórico-Artístico",Pública / Propio,40,"5,21","8,36",76 %,240,"10,31 €" 
"Universidad de Cantabria",Facultad de Derecho,Grado en Derecho,Pública / Propio,150,"5,205","9,32",68 %,240,"11,14 €" 
"Universitat de les Illes Balears","Facultad de Filosofía y Letras",Grado en Geografía,Pública / Propio,70,"5,204","7,32",85 %,240,"16,21 €" 
Universidad de Alcalá,"Centro Universitario Cardenal Cisneros","Grado en Magisterio de Educación Primaria",Pública / Adscrito,200,"5,201","7,78",89 %,240, 
"Universidad Complutense de Madrid","Facultad de Ciencias Geológicas",Grado en Geología,Pública / Propio,100,"5,2","7,96",67 %,240,"26,14 €" 
"Universidad de Castilla- La Mancha","Escuela Técnica Superior de Ingeniería Industrial de Ciudad Real","Grado en Ingeniería Eléctrica",Pública / Propio,40,"5,2","9,07",52 %,240,"18,87 €" 
"Universidad de Castilla- La Mancha","Escuela Técnica Superior de Ingenieros Agrónomos y de Montes","Grado en Ingeniería Agrícola y Agroalimentaria",Pública / Propio,40,"5,2","7,45",61 %,240,"18,87 €" 
"Universidad de Castilla- La Mancha","Escuela Técnica Superior de Ingenieros Agrónomos de Ciudad Real","Grado en Ingeniería Agrícola y Agroalimentaria",Pública / Propio,40,"5,196","8,32",61 %,240,"18,87 €" 
"Universidad de Santiago de Compostela","Facultad de Humanidades","Grado en Ciencias de la Cultura y Difusión Cultural",Pública / Propio,45,"5,194",n/d,66 %,240,"9,85 €" 
"Universidad de La Laguna","Escuela Superior de Ingeniería y Tecnología","Grado en Ingeniería Química Industrial",Pública / Propio,65,"5,194","7,85",48 %,240,"14,59 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Madrid",Grado en Derecho,Pública / Propio,155,"5,188","8,07",74 %,240,"21,39 €" 
"Universidad de Castilla- La Mancha","Facultad de Trabajo Social de Cuenca","Grado en Trabajo Social",Pública / Propio,60,"5,188","6,6",87 %,240,"12,13 €" 
"Universidad de Extremadura",Facultad de Educación,"Grado en Educación Infantil",Pública / Propio,140,"5,186","7,97",92 %,240,"12,33 €" 
Universidad de Oviedo,"Facultad de Economía y Empresa","Grado en Relaciones Laborales y Recursos Humanos",Pública / Propio,90,"5,184","6,64",69 %,240,"12,30 €" 
Universidad de Murcia,Facultad de Educación,"Grado en Educación Social",Pública / Propio,120,"5,182","8,79",91 %,240,"14,38 €" 
"Universidad Miguel Hernández de Elche","Escuela Superior de Gestión Comercial y Marketing (ESIC- VALENCIA)","Grado en Administración y Dirección de Empresas",Pública / Adscrito,70,"5,18","6,49",59 %,240, 
"Universidad Jaume I de Castellón","Escuela Superior de Tecnología y Ciencias Experimentales","Grado en Arquitectura Técnica",Pública / Propio,60,"5,18","7,7",62 %,240,"20,27 €" 
"Universidad Autónoma de Madrid","Centro Superior de Estudios Universitarios La Salle","Grado en Trabajo Social",Pública / Adscrito,48,"5,178","6,49",93 %,240, 
"Universidad Autónoma de Madrid","Facultad de Filosofía y Letras","Grado en Geografía y Ordenación del Territorio",Pública / Propio,36,"5,176","6,79",76 %,240,"21,39 €" 
"Universidad Politécnica de Catalunya","Facultad de Óptica y Optometría de Terrassa","Grado en Óptica y Optometría",Pública / Propio,90,"5,174","8,2",84 %,240,"39,53 €" 
"Universitat de les Illes Balears","Escuela Politécnica Superior","Grado en Ingeniería Telemática",Pública / Propio,45,"5,17","7,65",57 %,240,"18,50 €" 
"Universidad de Salamanca",Facultad de Ciencias,Grado en Estadística,Pública / Propio,50,"5,169","7,81",74 %,240,"14,05 €" 
"Universidad de La Laguna","Facultad de Economía, Empresa y Turismo",Grado en Economía,Pública / Propio,150,"5,166","7,28",47 %,240,"10,16 €" 
"Universidad de Castilla- La Mancha","Facultad de Educación de Albacete","Grado en Maestro en Educación Primaria",Pública / Propio,170,"5,165","8,89",88 %,240,"14,58 €" 
"Universidad de Castilla- La Mancha","Escuela Superior de Ingeniería Informática","Grado en Ingeniería Informática",Pública / Propio,160,"5,165","8,59",66 %,240,"18,87 €" 
"Universidad de Castilla- La Mancha","Escuela Técnica Superior de Ingenieros Industriales de Albacete","Grado en Ingeniería Mecánica",Pública / Propio,70,"5,164","8,34",62 %,240,"18,87 €" 
"Universidad Autónoma de Madrid","Centro Superior de Estudios Universitarios La Salle","Grado en Maestro/a en Educación Primaria",Pública / Adscrito,120,"5,16","7,11",96 %,240, 
"Universidad Autónoma de Madrid","Facultad de Filosofía y Letras","Grado en Historia del Arte",Pública / Propio,80,"5,159","8,84",81 %,240,"21,39 €" 
Universidad de Oviedo,"Facultad de Filosofía y Letras","Grado en Estudios Clásicos y Románicos",Pública / Propio,25,"5,158","8,64",77 %,240,"12,30 €" 
"Universidad de Castilla- La Mancha","Facultad de Ciencias y Tecnologías Químicas de Ciudad Real","Grado en Ingeniería Química",Pública / Propio,50,"5,156","9,04",66 %,240,"18,87 €" 
"Universidad Pública de Navarra","Escuela Técnica Superior de Ingeniería Industrial, Informática y Telecomunicación","Grado en Ingeniería en Tecnologías de Telecomunicación",Pública / Propio,60,"5,156","8,83",67 %,240,"23,05 €" 
"Universidad Autónoma de Barcelona","Escuela Universitaria de Enfermería y Fisioterapia Gimbernat",Grado en Enfermería,Pública / Adscrito,200,"5,156","6,98",92 %,240, 
"Universidad Rey Juan Carlos","Escuela Universitaria de Turismo ESERP","Grado en Administración y Dirección de Empresas",Pública / Adscrito,50,"5,153","6,27",70 %,240, 
"Universidad de Castilla- La Mancha","Escuela Técnica Superior de Ingenieros Industriales de Albacete","Grado en Ingeniería Electrónica Industrial y Automática",Pública / Propio,70,"5,153","8,64",59 %,240,"18,87 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros en Topografía, Geodesia y Cartografía","Grado en Ingeniería de las Tecnologías de la Información Geoespacial",Pública / Propio,50,"5,15","7,91",53 %,240,"24,55 €" 
Universidad de Oviedo,Facultad Padre Ossó,"Grado en Maestro en Educación Primaria",Pública / Adscrito,84,"5,148","6,25",85 %,240, 
Universidad de Oviedo,Facultad de Química,Grado en Química,Pública / Propio,90,"5,148","8,28",69 %,240,"12,30 €" 
Universidad de Vigo,"Facultad de Educación y Trabajo Social","Grado en Trabajo Social",Pública / Propio,75,"5,148","7,33",87 %,240,"9,85 €" 
"Universitat de les Illes Balears",Facultad de Ciencias,Grado en Química,Pública / Propio,54,"5,144","8,85",64 %,240,"18,50 €" 
"Universidad de Santiago de Compostela","Escuela Politécnica Superior de Ingeniería","Grado en Ingeniería Agrícola y Agroalimentaria",Pública / Propio,45,"5,143","6,81",62 %,240,"13,93 €" 
"Universidad Politécnica de Catalunya",Facultad de Náutica,"Grado en Ingeniería en Sistemas y Tecnología Naval",Pública / Propio,60,"5,142","8,06",80 %,240,"39,53 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Aranjuez",Grado en Paisajismo,Pública / Propio,40,"5,142","6,89",69 %,240,"21,39 €" 
Universidad de Oviedo,"Facultad de Comercio, Turismo y Ciencias Sociales Jovellanos",Grado en Turismo,Pública / Propio,100,"5,142","7,03",75 %,240,"12,30 €" 
Universidad de Murcia,"ISEN Centro Universitario",Grado en Seguridad,Pública / Adscrito,140,"5,141","8,44",86 %,240, 
"Universidad de Castilla- La Mancha","Facultad de Ciencias Sociales en Talavera de la Reina","Grado en Educación Social",Pública / Propio,60,"5,14","7,21",90 %,240,"14,58 €" 
Universidad de Vigo,"Facultad de Ciencias Sociales y de la Comunicación","Grado en Dirección y Gestión Pública",Pública / Propio,45,"5,14","6,95",77 %,240,"9,85 €" 
"Universidad Pública de Navarra","Escuela Técnica Superior de Ingeniería Industrial, Informática y Telecomunicación","Grado en Ingeniería Eléctrica y Electrónica",Pública / Propio,60,"5,14","8,06",61 %,240,"23,05 €" 
Universidad de Lleida,"Escuela Técnica Superior de Ingeniería Agraria","Grado en Ciencia y Tecnología de los Alimentos",Pública / Propio,40,"5,138","7,57",79 %,240,"35,77 €" 
Universidad de Oviedo,"Facultad de Comercio, Turismo y Ciencias Sociales Jovellanos","Grado en Trabajo Social",Pública / Propio,100,"5,138","6,31",79 %,240,"12,30 €" 
"Universidad de Cantabria","Escuela Técnica Superior de Náutica","Grado en Ingeniería Náutica y Transporte Marítimo",Pública / Propio,60,"5,138","7,14",77 %,240,"15,02 €" 
"Universidad de Castilla- La Mancha","Facultad de Educación de Toledo","Grado en Maestro en Educación Infantil",Pública / Propio,75,"5,134","8,42",91 %,240,"14,58 €" 
"Universidad de Cantabria","Escuela Técnica Superior de Ingenieros Industriales y de Telecomunicación","Grado en Ingeniería de Tecnologías de Telecomunicación",Pública / Propio,90,"5,132","8,29",69 %,240,"15,02 €" 
"Universidad Autónoma de Madrid","Centro Superior de Estudios Universitarios La Salle","Grado en Terapia Ocupacional",Pública / Adscrito,64,"5,132","6,79",94 %,240, 
"Universidad Complutense de Madrid","Facultad de Ciencias de la Documentación","Grado en Información y Documentación",Pública / Propio,100,"5,131","7,32",79 %,240,"21,39 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas","Grado en Ingeniería Agroambiental",Pública / Propio,110,"5,128","7,87",63 %,240,"24,55 €" 
"Universidad de La Laguna",Facultad de Derecho,"Grado en Relaciones Laborales",Pública / Propio,150,"5,127","6,78",57 %,240,"10,16 €" 
Universidad de Alcalá,"Facultad de Filosofía y Letras","Grado en Humanidades",Pública / Propio,35,"5,121","7,37",78 %,240,"21,39 €" 
"Universidad Autónoma de Barcelona","Facultad de Filosofía y Letras","Grado en Geografía, Medio Ambiente y Planificación Territorial",Pública / Propio,60,"5,121","8,12",76 %,240,"25,27 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas","Grado en Ingeniería Alimentaria",Pública / Propio,143,"5,121","7,69",50 %,240,"24,55 €" 
"Universitat de les Illes Balears",Facultad de Educación,"Grado en Educación Social",Pública / Propio,120,"5,12","7,52",81 %,240,"16,21 €" 
"Universidad Autónoma de Madrid","Facultad de Filosofía y Letras","Grado en Ciencias y Lenguas de la Antigüedad",Pública / Propio,40,"5,118","8,29",74 %,240,"21,39 €" 
"Universitat de les Illes Balears","Escuela Universitaria de Turismo Felipe Moreno",Grado en Turismo,Pública / Adscrito,40,"5,118",n/d,76 %,240, 
"Universidad de Castilla- La Mancha","Facultad de Educación de Ciudad Real","Grado en Maestro en Educación Infantil",Pública / Propio,75,"5,117","8,29",91 %,240,"14,58 €" 
"Universidad de Cantabria","Escuela Politécnica de Ingeniería de Minas y Energía","Grado en Ingeniería de los Recursos Energéticos",Pública / Propio,50,"5,115","8,08",74 %,240,"15,02 €" 
"Universidad de La Laguna",Facultad de Educación,Grado en Pedagogía,Pública / Propio,200,"5,113","7,18",81 %,240,"10,16 €" 
"Universidad de Castilla- La Mancha","Facultad de Ciencias de la Educación y Humanidades","Grado en Educación Social",Pública / Propio,70,"5,11","6,53",90 %,240,"14,58 €" 
"Universidad de Extremadura","Centro Universitario de Mérida","Grado en Ingeniería en Diseño Industrial y Desarrollo de Productos",Pública / Propio,60,"5,11","8,4",75 %,240,"16,83 €" 
Universidad de Vigo,"Facultad de Ciencias Empresariales y Turismo",Grado en Turismo,Pública / Propio,55,"5,11","7,77",69 %,240,"9,85 €" 
Universidad de Oviedo,"Escuela Politécnica de Ingeniería de Gijón","Grado en Ingeniería Eléctrica",Pública / Propio,80,"5,108","6,79",54 %,240,"12,30 €" 
"Universidad de Castilla- La Mancha",Facultad de Letras,"Grado en Historia del Arte",Pública / Propio,20,"5,106","8,39",84 %,240,"12,13 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros de Minas y Energía","Grado en Ingeniería en Tecnología Minera",Pública / Propio,50,"5,105","7,81",45 %,240,"24,55 €" 
"Universidad Rey Juan Carlos","Escuela Superior de Gestión Empresarial y Marketing (ESIC)",Grado en Marketing,Pública / Adscrito,210,"5,101","7,67",82 %,240, 
Universidad de Alicante,"Escuela Politécnica Superior","Grado en Ingeniería Civil",Pública / Propio,75,"5,1","7,47",61 %,240,"20,27 €" 
"Universitat de les Illes Balears","Escuela Politécnica Superior",Grado en Edificación,Pública / Propio,60,"5,1","7,66",67 %,240,"18,50 €" 
"Universitat de les Illes Balears","Escuela Politécnica Superior","Grado en Ingeniería Agroalimentaria y del Medio Rural",Pública / Propio,45,"5,1","7,74",76 %,240,"18,50 €" 
Universidad de Alcalá,"Centro de Educación Superior CUNIMAD","Grado en Nutrición Humana y Dietética",Pública / Adscrito,100,"5,1","6,71",75 %,240, 
"Universitat de les Illes Balears",Facultad de Psicología,Grado en Psicología,Pública / Propio,110,"5,098","8,56",85 %,240,"18,50 €" 
"Universidad Complutense de Madrid",Facultad de Filología,"Grado en Estudios Semíticos e Islámicos",Pública / Propio,40,"5,094","6,86",71 %,240,"21,39 €" 
Universidad de Burgos,Facultad de Educación,"Grado en Educación Social",Pública / Propio,70,"5,092","6,87",93 %,240,"14,05 €" 
Universidad de Lleida,Facultad de Letras,Grado en Historia,Pública / Propio,30,"5,092","8,31",79 %,240,"25,27 €" 
Universidad de Sevilla,"Facultad de Geografía e Historia",Grado en Historia,Pública / Propio,180,"5,092","9,01",64 %,240,"12,62 €" 
"Universidad de Castilla- La Mancha","Facultad de Ciencias Sociales","Grado en Administración y Dirección de Empresas",Pública / Propio,50,"5,092","8,22",63 %,240,"12,13 €" 
"Universidad de Castilla- La Mancha",Facultad de Derecho,Grado en Derecho,Pública / Propio,140,"5,092","7,78",67 %,240,"12,13 €" 
Universidad de Alcalá,"Escuela de Arquitectura, Sección Guadalajara","Grado en Ciencia y Tecnología de la Edificación",Pública / Propio,75,"5,092","7,04",68 %,240,"24,55 €" 
"Universidad Complutense de Madrid",Facultad de Filología,"Grado en Lingüística y Lenguas Aplicadas",Pública / Propio,60,"5,091","8,05",62 %,240,"21,39 €" 
"Universidad de Castilla- La Mancha","Facultad de Ciencias Económicas y Empresariales",Grado en Economía,Pública / Propio,70,"5,091","8,79",62 %,240,"12,13 €" 
"Universidad Jaume I de Castellón","Facultad de Ciencias Jurídicas y Económicas","Grado en Finanzas y Contabilidad",Pública / Propio,140,"5,09","7,84",63 %,240,"14,96 €" 
"Universidad Rey Juan Carlos","Escuela Universitaria de Turismo ESERP",Grado en Marketing,Pública / Adscrito,40,"5,09","6,56",82 %,240, 
"Universidad Autónoma de Madrid","Centro Superior de Estudios Universitarios La Salle",Grado en Podología,Pública / Adscrito,32,"5,09","7,58",91 %,240, 
"Universidad Rey Juan Carlos","Escuela Universitaria de Artes y Espectáculos TAI","Grado en Cinematografía y Artes Audiovisuales",Pública / Adscrito,150,"5,089","8,56",85 %,240, 
"Universidad Complutense de Madrid","Centro de Enseñanza Superior Cardenal Cisneros","Grado en Administración y Dirección de Empresas",Pública / Adscrito,70,"5,086","6,87",76 %,240, 
"Universidad Autónoma de Madrid","Facultad de Filosofía y Letras","Grado en Estudios Hispánicos: Lengua",Pública / Propio,90,"5,084","7,97",80 %,240,"21,39 €" 
"",,"Española y sus Literaturas",,,,,,, 
"Universidad de Castilla- La Mancha","Escuela de Ingeniería Minera e Industrial de Almadén","Grado en Ingeniería Eléctrica",Pública / Propio,33,"5,084","6,19",52 %,240,"18,87 €" 
"Universidad Autónoma de Madrid","Centro Superior de Estudios Universitarios La Salle","Grado en Diseño y Gestión de Proyectos Transmedia",Pública / Adscrito,56,"5,082","7,15",97 %,240, 
"Universidad Complutense de Madrid","Facultad de Geografía e Historia","Grado en Historia del Arte",Pública / Propio,250,"5,082","8,62",76 %,240,"21,39 €" 
"Universidad de Castilla- La Mancha","Facultad de Ciencias Jurídicas y Sociales","Grado en Administración y Dirección de Empresas",Pública / Propio,120,"5,081","7,68",63 %,240,"12,13 €" 
"Universidad Rey Juan Carlos","Escuela Superior de Gestión Empresarial y Marketing (ESIC)","Grado en Administración y Dirección de Empresas",Pública / Adscrito,210,"5,08","7,6",70 %,240, 
"Universidad de Castilla- La Mancha",Facultad de Bellas Artes,Grado en Bellas Artes,Pública / Propio,120,"5,078","7,51",84 %,240,"17,64 €" 
Universidad de Oviedo,Facultad de Derecho,Grado en Derecho,Pública / Propio,350,"5,078","7,5",66 %,240,"12,30 €" 
"Universidad Politécnica de Cartagena","Escuela Técnica Superior de Ingeniería Naval y Oceánica","Grado en Arquitectura Naval e Ingeniería de Sistemas Marinos",Pública / Propio,50,"5,077","8,45",54 %,240,"16,78 €" 
"Universidad Rey Juan Carlos","Centro de Educación Superior CEDEU","Grado en Protocolo, Organización de Eventos y Comunicación Corporativa",Pública / Adscrito,80,"5,075","7,26",93 %,240, 
"Universidad de Extremadura","Escuela de Ingenierías Industriales","Grado en Ingeniería Eléctrica (Rama Industrial)",Pública / Propio,75,"5,071","8,39",58 %,240,"16,83 €" 
"Universitat de les Illes Balears","Facultad de Filosofía y Letras","Grado en Historia del Arte",Pública / Propio,70,"5,07","6,82",67 %,240,"13,53 €" 
"Universidad Pública de Navarra","Escuela Técnica Superior de Ingeniería Agronómica y Biociencias","Grado en Innovación de Procesos y Productos Alimentarios",Pública / Propio,35,"5,069","7,78",79 %,240,"23,05 €" 
"Universitat de les Illes Balears",Facultad de Turismo,Grado en Turismo,Pública / Propio,180,"5,068","7,17",76 %,240,"13,53 €" 
"Universidad Complutense de Madrid","Centro de Enseñanza Superior Villanueva","Grado en Publicidad y Relaciones Públicas",Pública / Adscrito,60,"5,066","7,61",91 %,240, 
"Universidad Rey Juan Carlos","Escuela Superior de Gestión Empresarial y Marketing (ESIC)","Grado en Publicidad y Relaciones Públicas",Pública / Adscrito,120,"5,065","7,47",84 %,240, 
Universidad de Vigo,"Escuela Universitaria de Profesorado de E.G.B. María Sedes Sapientiae","Grado en Educación Infantil",Pública / Adscrito,75,"5,064","6,85",93 %,240, 
"Universitat de les Illes Balears","Facultad de Filosofía y Letras",Grado en Filosofía,Pública / Propio,60,"5,062","7,18",73 %,240,"11,59 €" 
"Universidad Autónoma de Madrid","Facultad de Filosofía y Letras",Grado en Historia,Pública / Propio,140,"5,06","8,47",76 %,240,"21,39 €" 
Universidad de Murcia,"Facultad de Economía y Empresa",Grado en Sociología,Pública / Propio,70,"5,06","7,45",58 %,240,"14,38 €" 
Universidad de Girona,"Escuela Universitaria (ERAM)","Grado en Comunicación Audiovisual y Multimedia",Pública / Adscrito,50,"5,06","8,94",91 %,240, 
"Universidad Rey Juan Carlos","Escuela Superior de Gestión Empresarial y Marketing (ESIC)","Grado en Dirección y Gestión de Empresas en el Ámbito Digital",Pública / Adscrito,120,"5,057","7,82",82 %,240, 
"Universidad de Castilla- La Mancha","Facultad de Relaciones Laborales y Recursos Humanos de Albacete","Grado en Relaciones Laborales y Desarrollo de Recursos Humanos",Pública / Propio,50,"5,056","7,25",80 %,240,"12,13 €" 
"Universidad de Castilla- La Mancha","Escuela Superior de Informática","Grado en Ingeniería Informática",Pública / Propio,160,"5,056","8,69",66 %,240,"18,87 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros de Caminos, Canales y Puertos","Grado en Ingeniería Civil y Territorial",Pública / Propio,300,"5,051","8,04",46 %,240,"24,55 €" 
Universidad de Murcia,Facultad de Bellas Artes,Grado en Bellas Artes,Pública / Propio,100,"5,05","9,03",81 %,240,"16,78 €" 
"Universidad Autónoma de Madrid","Facultad de Filosofía y Letras","Grado en Estudios de Asia y África: Árabe, Chino y Japonés",Pública / Propio,100,"5,05","9,65",83 %,240,"21,39 €" 
"Universidad Autónoma de Madrid","Centro Superior de Estudios Universitarios La Salle","Grado en Educación Social",Pública / Adscrito,48,"5,049","7,16",92 %,240, 
Universidad de Alcalá,"Facultad de Filosofía y Letras","Grado en Estudios Hispánicos",Pública / Propio,50,"5,049","8,87",87 %,240,"21,39 €" 
"Universidad Pública de Navarra","Facultad de Ciencias Humanas, Sociales y de la Educación","Grado en Sociología Aplicada",Pública / Propio,50,"5,047","7,53",71 %,240,"16,25 €" 
"Universidad de Castilla- La Mancha","Escuela de Ingeniería Minera e Industrial de Almadén","Grado en Ingeniería Mecánica",Pública / Propio,33,"5,045","6,48",62 %,240,"18,87 €" 
Universidad de Oviedo,"Facultad de Filosofía y Letras",Grado en Historia,Pública / Propio,100,"5,044","7,37",72 %,240,"8,63 €" 
"Universitat de les Illes Balears","Escuela Politécnica Superior","Grado en Ingeniería Informática",Pública / Propio,150,"5,044","7,78",59 %,240,"18,50 €" 
"Universidad de Extremadura",Facultad de Educación,"Grado en Educación Primaria",Pública / Propio,280,"5,04","8,01",87 %,240,"12,33 €" 
"Universidad de Castilla- La Mancha","Facultad de Ciencias Sociales en Talavera de la Reina","Grado en Administración y Dirección de Empresas",Pública / Propio,50,"5,04","7,52",63 %,240,"12,13 €" 
"Universidad de Castilla- La Mancha","Facultad de Derecho y Ciencias Sociales","Grado en Relaciones Laborales y Desarrollo de Recursos Humanos",Pública / Propio,60,"5,04","7,18",80 %,240,"12,13 €" 
"Universidad Autónoma de Barcelona",Escuela de Ingeniería,"Grado en Gestión de Ciudades Inteligentes y Sostenibles",Pública / Propio,60,"5,038","7,76",74 %,180,"35,77 €" 
"Universidad Complutense de Madrid","Facultad de Ciencias Políticas y Sociología","Grado en Gestión y Administración Pública",Pública / Propio,80,"5,036","6,08",80 %,240,"21,39 €" 
Universidad de Alcalá,"Centro Universitario Cardenal Cisneros","Grado en Magisterio de Educación Infantil",Pública / Adscrito,250,"5,032","7,12",94 %,240, 
Universidad de Murcia,Facultad de Letras,Grado en Historia,Pública / Propio,140,"5,03","8,77",77 %,240,"14,38 €" 
"Universidad Pablo de Olavide","Escuela Politécnica Superior","Grado en Ingeniería Informática en Sistemas de Información",Pública / Propio,75,"5,03","7,63",59 %,240,"12,62 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Edificación",Grado en Edificación,Pública / Propio,290,"5,029","7,27",60 %,240,"24,55 €" 
"Universidad de Castilla- La Mancha","Facultad de Educación de Cuenca","Grado en Maestro en Educación Primaria",Pública / Propio,150,"5,027","7,51",88 %,240,"14,58 €" 
"Universidad de Castilla- La Mancha","Facultad de Ciencias de la Educación y Humanidades","Grado en Humanidades: Historia Cultural",Pública / Propio,20,"5,026","7,16",84 %,240,"12,13 €" 
Universidad de Oviedo,"Facultad de Comercio, Turismo y Ciencias Sociales Jovellanos","Grado en Comercio y Marketing",Pública / Propio,200,"5,026","6,99",77 %,240,"12,30 €" 
Universidad de Murcia,Facultad de Biología,"Grado en Ciencias Ambientales",Pública / Propio,95,"5,026","7,75",71 %,240,"16,78 €" 
"Universidad de Extremadura","Centro Universitario Santa Ana","Grado en Educación Primaria",Pública / Adscrito,75,"5,024","6,95",87 %,240, 
"Universidad de Castilla- La Mancha","Facultad de Ciencias Económicas y Empresariales","Grado en Administración y Dirección de Empresas",Pública / Propio,130,"5,021","8,28",63 %,240,"12,13 €" 
"Universidad Pública de Navarra","Facultad de Ciencias Económicas y Empresariales",Grado en Economía,Pública / Propio,65,"5,018","8,34",70 %,240,"16,25 €" 
"Universidad Complutense de Madrid","Facultad de Ciencias Políticas y Sociología","Grado en Antropología Social y Cultural",Pública / Propio,110,"5,018","8,01",75 %,240,"21,39 €" 
"Universitat de les Illes Balears",Facultad de Derecho,"Grado en Relaciones Laborales",Pública / Propio,50,"5,018","6,89",79 %,240,"13,53 €" 
"Universidad Pública de Navarra","Escuela Técnica Superior de Ingeniería Agronómica y Biociencias","Grado en Ingeniería Agroalimentaria y del Medio Rural",Pública / Propio,70,"5,018","8,29",71 %,240,"23,05 €" 
"Universidad de Castilla- La Mancha","Facultad de Ciencias de la Salud","Grado en Terapia Ocupacional",Pública / Propio,75,"5,017","7,2",86 %,240,"14,58 €" 
"Universidad de Castilla- La Mancha","Facultad de Comunicación",Grado en Periodismo,Pública / Propio,60,"5,016","7,11",83 %,240,"14,58 €" 
"Universidad de Castilla- La Mancha","Facultad de Ciencias Jurídicas y Sociales",Grado en Derecho,Pública / Propio,150,"5,015","7,26",67 %,240,"12,13 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas","Grado en Ingeniería Agrícola",Pública / Propio,132,"5,015",8,59 %,240,"24,55 €" 
"Universidad Autónoma de Madrid","Centro Superior de Estudios Universitarios La Salle","Grado en Maestro/a en Educación Infantil",Pública / Adscrito,120,"5,012","7,35",94 %,240, 
"Universidad Complutense de Madrid","Centro de Enseñanza Superior Villanueva",Grado en Psicología,Pública / Adscrito,60,"5,011","7,67",88 %,240, 
"Universidad de Castilla- La Mancha","Facultad de Comunicación","Grado en Comunicación Audiovisual",Pública / Propio,60,"5,01","7,35",,240,"14,58 €" 
"Universidad Complutense de Madrid",Facultad de Filología,"Grado en Español: Lengua y Literatura",Pública / Propio,150,"5,01","8,26",77 %,240,"21,39 €" 
"Universidad de Castilla- La Mancha",Facultad de Letras,"Grado en Estudios Ingleses",Pública / Propio,70,"5,01","8,01",75 %,240,"12,13 €" 
"Universidad Rovira i Virgili",Facultad de Letras,Grado en Inglés,Pública / Propio,55,"5,01","7,76",82 %,240,"25,27 €" 
Universidad de Alicante,"Facultad de Filosofía y Letras","Grado en Humanidades",Pública / Propio,50,"5,01","7,77",75 %,240,"13,86 €" 
"Universidad de Castilla- La Mancha","Facultad de Humanidades de Albacete","Grado en Humanidades y Estudios Sociales",Pública / Propio,30,"5,01","8,04",74 %,240,"12,13 €" 
Universidad de Alicante,"Facultad de Filosofía y Letras","Grado en Geografía y Ordenación del Territorio",Pública / Propio,50,"5,01","7,53",75 %,240,"14,96 €" 
"Universidad de Extremadura","Facultad de Empresa, Finanzas y Turismo","Grado en Administración y Dirección de Empresas",Pública / Propio,140,"5,01","8,41",72 %,240,"12,33 €" 
"Universidad Politécnica de Catalunya","Escuela Técnica Superior de Ingeniería de Caminos, Canales y Puertos de Barcelona","Grado en Ciencias y Tecnologías del Mar",Pública / Propio,60,"5,01",8,62 %,240,"35,77 €" 
"Universidad Autónoma de Madrid","Centro Superior de Estudios Universitarios La Salle",Grado en Fisioterapia,Pública / Adscrito,120,"5,01","7,56",86 %,240, 
Universidad de Oviedo,"Escuela Superior de Marina Civil","Grado en Náutica y Transporte Marítimo",Pública / Propio,36,"5,01","6,9",62 %,240,"12,30 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería de Montes, Forestal y del Medio Natural","Grado en Ingeniería Forestal",Pública / Propio,175,"5,009","7,51",58 %,240,"24,55 €" 
"Universitat de les Illes Balears",Facultad de Educación,Grado en Pedagogía,Pública / Propio,70,"5,008","6,42",88 %,240,"16,21 €" 
"Universidad de Castilla- La Mancha","Facultad de Educación de Ciudad Real","Grado en Maestro en Educación Primaria",Pública / Propio,210,"5,007","7,62",88 %,240,"14,58 €" 
